Unnamed: 0,French,English
1,histoire,history
3,seulement,only
5,pensais,thought
6,aide,help
7,demande,request
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
18,chaque,each
19,parlé,speak
21,devrait,should
22,bébé,baby
23,longtemps,long time
26,pendant,while
27,revoir,meet again
28,aucune,any
29,place,square
32,savais,knew
33,étaient,were
34,attention,Warning
35,voici,here is
36,pourrais,could
37,affaire,case
38,donner,give
39,leurs,their
40,donné,given
43,endroit,place
45,façon,way
46,écoute,listen
47,dont,whose
48,trouve,find
49,premier,first
50,perdu,lost
51,main,hand
52,première,first
53,côté,side
54,pouvoir,power
60,enfant,child
62,venu,came
63,suite,after
64,pardon,sorry
66,devant,in front of
68,minutes,minutes
69,demandé,request
70,chambre,bedroom
74,aimerais,would like to
75,aujourd'hui,today
76,mari,husband
77,cause,cause
80,eau,water
81,attendez,Wait
82,parti,left
83,nouvelle,new
84,boulot,job
86,dirait,would say
87,terre,Earth
88,compte,account
89,donne,given
91,fin,end
92,croire,believe
93,chérie,sweetheart
94,gros,large
97,filles,girls
98,jouer,to play
99,bureau,office
